BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,mine,0,0
-1,death-me,3,their,0,0
-1,death-me,4,deceased,0,0
-1,death-me,5,breathing,0,0
-1,death-me,6,funeral,1,1690
-1,death-me,7,my,1,991
-1,death-me,8,suicide,1,1657
-1,death-me,9,thrive,1,1141
-1,death-me,10,myself,0,0
-1,death-me,11,self,1,1024
0,life-me,12,breathing,1,332
0,life-me,13,funeral,1,1040
0,life-me,14,they,1,898
0,life-me,15,myself,1,832
0,life-me,16,other,0,0
0,life-me,17,self,1,1332
0,life-me,18,survive,1,1382
0,life-me,19,lifeless,0,0
0,life-me,20,my,1,999
0,life-me,21,their,0,0
0,life-me,22,I,1,907
0,life-me,23,alive,1,940
0,life-me,24,live,1,1132
0,life-me,25,thrive,1,1181
0,life-me,26,deceased,1,1899
0,life-me,27,suicide,0,0
0,life-me,28,them,0,0
0,life-me,29,die,0,0
0,life-me,30,mine,1,782
0,life-me,31,theirs,0,0
1,death-me,32,theirs,0,0
1,death-me,33,their,0,0
1,death-me,34,suicide,1,865
1,death-me,35,live,0,0
1,death-me,36,alive,1,1239
1,death-me,37,myself,1,882
1,death-me,38,lifeless,1,1540
1,death-me,39,other,0,0
1,death-me,40,my,1,833
1,death-me,41,deceased,1,1257
1,death-me,42,thrive,0,0
1,death-me,43,they,0,0
1,death-me,44,breathing,1,1373
1,death-me,45,mine,1,1449
1,death-me,46,die,1,1291
1,death-me,47,funeral,1,999
1,death-me,48,survive,0,0
1,death-me,49,self,1,756
1,death-me,50,I,1,1518
1,death-me,51,them,0,0
2,life-me,52,my,1,1374
2,life-me,53,suicide,0,0
2,life-me,54,myself,1,682
2,life-me,55,die,0,0
2,life-me,56,mine,1,682
2,life-me,57,I,1,724
2,life-me,58,funeral,0,0
2,life-me,59,other,0,0
2,life-me,60,self,1,657
2,life-me,61,them,0,0
2,life-me,62,theirs,0,0
2,life-me,63,deceased,1,915
2,life-me,64,lifeless,0,0
2,life-me,65,they,0,0
2,life-me,66,alive,1,991
2,life-me,67,live,1,907
2,life-me,68,breathing,1,840
2,life-me,69,survive,1,1099
2,life-me,70,their,0,0
2,life-me,71,thrive,1,1698
3,death-me,72,self,1,1482
3,death-me,73,survive,0,0
3,death-me,74,die,1,1441
3,death-me,75,myself,1,1073
3,death-me,76,live,0,0
3,death-me,77,them,0,0
3,death-me,78,alive,0,0
3,death-me,79,breathing,1,1574
3,death-me,80,thrive,1,1582
3,death-me,81,their,0,0
3,death-me,82,suicide,1,1515
3,death-me,83,funeral,1,841
3,death-me,84,mine,1,924
3,death-me,85,I,1,757
3,death-me,86,lifeless,1,1190
3,death-me,87,they,0,0
3,death-me,88,my,1,1282
3,death-me,89,theirs,0,0
3,death-me,90,other,0,0
3,death-me,91,deceased,1,874
4,life-me,92,survive,1,1489
4,life-me,93,them,0,0
4,life-me,94,self,1,1665
4,life-me,95,suicide,1,1423
4,life-me,96,live,1,1382
4,life-me,97,myself,1,898
4,life-me,98,I,1,1024
4,life-me,99,their,1,1232
4,life-me,100,my,1,699
4,life-me,101,thrive,1,1274
4,life-me,102,they,1,1082
4,life-me,103,breathing,1,774
4,life-me,104,alive,1,699
4,life-me,105,lifeless,1,1032
4,life-me,106,funeral,1,940
4,life-me,107,deceased,1,807
4,life-me,108,theirs,1,965
4,life-me,109,other,1,1265
4,life-me,110,mine,1,607
4,life-me,111,die,1,1182
5,death-me,112,alive,0,0
5,death-me,113,their,1,1090
5,death-me,114,funeral,1,657
5,death-me,115,mine,1,649
5,death-me,116,suicide,1,715
5,death-me,117,thrive,1,1057
5,death-me,118,I,1,932
5,death-me,119,deceased,1,857
5,death-me,120,lifeless,1,999
5,death-me,121,breathing,1,932
5,death-me,122,theirs,1,966
5,death-me,123,them,1,922
5,death-me,124,die,1,1074
5,death-me,125,they,1,940
5,death-me,126,myself,1,749
5,death-me,127,other,1,924
5,death-me,128,live,1,1190
5,death-me,129,my,1,982
5,death-me,130,self,1,1149
5,death-me,131,survive,1,1249
6,life-me,132,breathing,1,1241
6,life-me,133,other,1,982
6,life-me,134,they,1,1057
6,life-me,135,their,1,799
6,life-me,136,I,1,757
6,life-me,137,deceased,1,917
6,life-me,138,my,1,698
6,life-me,139,alive,1,857
6,life-me,140,myself,1,732
6,life-me,141,live,1,640
6,life-me,142,lifeless,1,932
6,life-me,143,self,1,882
