BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,I,1,556
-1,death-me,3,their,1,656
-1,death-me,4,deceased,1,747
-1,death-me,5,live,1,1237
-1,death-me,6,suicide,0,0
-1,death-me,7,survive,0,0
-1,death-me,8,mine,0,0
-1,death-me,9,them,0,0
-1,death-me,10,funeral,0,0
-1,death-me,11,my,0,0
0,life-me,12,self,1,856
0,life-me,13,lifeless,1,1046
0,life-me,14,my,1,731
0,life-me,15,die,1,598
0,life-me,16,survive,1,682
0,life-me,17,live,1,673
0,life-me,18,funeral,1,888
0,life-me,19,thrive,1,731
0,life-me,20,they,1,704
0,life-me,21,theirs,1,1384
0,life-me,22,deceased,1,1090
0,life-me,23,breathing,1,1373
0,life-me,24,suicide,1,806
0,life-me,25,I,1,797
0,life-me,26,their,1,1398
0,life-me,27,myself,1,732
0,life-me,28,them,1,782
0,life-me,29,alive,1,698
0,life-me,30,mine,1,648
0,life-me,31,other,1,772
1,death-me,32,theirs,1,1841
1,death-me,33,them,1,799
1,death-me,34,other,1,888
1,death-me,35,live,1,40
1,death-me,36,myself,1,832
1,death-me,37,lifeless,1,931
1,death-me,38,self,1,763
1,death-me,39,alive,1,657
1,death-me,40,thrive,1,1406
1,death-me,41,their,1,1248
1,death-me,42,breathing,1,970
1,death-me,43,my,1,946
1,death-me,44,survive,1,1123
1,death-me,45,I,1,1156
1,death-me,46,mine,1,748
1,death-me,47,suicide,1,640
1,death-me,48,they,0,0
1,death-me,49,funeral,1,933
1,death-me,50,deceased,1,831
1,death-me,51,die,1,571
2,life-me,52,funeral,1,1089
2,life-me,53,die,1,515
2,life-me,54,lifeless,1,598
2,life-me,55,they,1,421
2,life-me,56,live,1,897
2,life-me,57,thrive,1,640
2,life-me,58,alive,1,531
2,life-me,59,suicide,1,484
2,life-me,60,mine,1,458
2,life-me,61,my,1,614
2,life-me,62,survive,1,657
2,life-me,63,their,1,523
2,life-me,64,I,1,607
2,life-me,65,other,1,629
2,life-me,66,deceased,1,641
2,life-me,67,them,1,548
2,life-me,68,myself,1,739
2,life-me,69,breathing,1,645
2,life-me,70,self,1,614
2,life-me,71,theirs,1,541
3,death-me,72,suicide,1,664
3,death-me,73,I,1,655
3,death-me,74,die,1,764
3,death-me,75,deceased,1,676
3,death-me,76,theirs,1,481
3,death-me,77,other,1,711
3,death-me,78,breathing,1,856
3,death-me,79,thrive,1,807
3,death-me,80,self,1,731
3,death-me,81,funeral,1,616
3,death-me,82,survive,1,1223
3,death-me,83,live,1,996
3,death-me,84,lifeless,1,737
3,death-me,85,myself,1,848
3,death-me,86,my,1,792
3,death-me,87,them,1,689
3,death-me,88,their,1,707
3,death-me,89,they,1,631
3,death-me,90,mine,1,706
3,death-me,91,alive,1,731
4,life-me,92,theirs,1,1073
4,life-me,93,thrive,1,758
4,life-me,94,alive,1,631
4,life-me,95,them,1,484
4,life-me,96,mine,1,539
4,life-me,97,they,1,589
4,life-me,98,myself,1,665
4,life-me,99,my,1,616
4,life-me,100,survive,1,689
4,life-me,101,live,1,565
4,life-me,102,lifeless,1,631
4,life-me,103,die,1,681
4,life-me,104,other,1,640
4,life-me,105,breathing,1,631
4,life-me,106,deceased,1,589
4,life-me,107,self,1,789
4,life-me,108,their,1,781
4,life-me,109,funeral,1,755
4,life-me,110,suicide,1,827
4,life-me,111,I,1,656
5,death-me,112,lifeless,1,907
5,death-me,113,them,1,922
5,death-me,114,myself,1,955
5,death-me,115,suicide,1,956
5,death-me,116,die,1,748
5,death-me,117,deceased,1,664
5,death-me,118,I,1,1090
5,death-me,119,theirs,1,747
5,death-me,120,funeral,1,781
5,death-me,121,thrive,1,1031
5,death-me,122,other,1,897
5,death-me,123,breathing,1,1147
5,death-me,124,self,1,815
5,death-me,125,live,1,880
5,death-me,126,they,1,939
5,death-me,127,survive,1,682
5,death-me,128,their,1,1090
5,death-me,129,mine,1,906
5,death-me,130,my,1,590
5,death-me,131,alive,1,681
6,life-me,132,theirs,1,1406
6,life-me,133,alive,1,625
6,life-me,134,I,1,514
6,life-me,135,they,1,705
6,life-me,136,self,1,831
6,life-me,137,thrive,1,606
6,life-me,138,die,1,475
6,life-me,139,live,1,598
6,life-me,140,suicide,1,689
6,life-me,141,deceased,1,965
6,life-me,142,my,1,723
6,life-me,143,mine,1,648
6,life-me,144,them,1,614
6,life-me,145,breathing,1,670
6,life-me,146,other,1,1024
6,life-me,147,funeral,1,674
6,life-me,148,myself,1,593
6,life-me,149,survive,1,651
6,life-me,150,their,1,723
6,life-me,151,lifeless,1,765
7,death-me,152,live,1,1889
7,death-me,153,other,1,840
7,death-me,154,myself,1,1008
7,death-me,155,lifeless,1,1081
7,death-me,156,breathing,1,898
7,death-me,157,my,1,647
7,death-me,158,survive,1,1093
7,death-me,159,thrive,1,915
7,death-me,160,funeral,1,811
7,death-me,161,mine,1,670
7,death-me,162,die,1,588
7,death-me,163,them,1,648
7,death-me,164,their,1,606
7,death-me,165,deceased,1,706
7,death-me,166,I,1,657
7,death-me,167,self,1,676
7,death-me,168,alive,1,904
7,death-me,169,theirs,1,807
7,death-me,170,they,1,773
7,death-me,171,suicide,1,782
8,life-me,172,they,1,1339
8,life-me,173,other,1,746
8,life-me,174,die,1,731
8,life-me,175,deceased,1,549
8,life-me,176,funeral,1,640
8,life-me,177,alive,1,597
8,life-me,178,mine,1,656
8,life-me,179,them,1,647
8,life-me,180,I,1,564
8,life-me,181,theirs,1,557
8,life-me,182,thrive,1,859
8,life-me,183,myself,1,628
8,life-me,184,live,1,1166
8,life-me,185,self,1,649
8,life-me,186,their,1,542
8,life-me,187,suicide,1,698
8,life-me,188,survive,1,774
8,life-me,189,breathing,1,681
8,life-me,190,lifeless,1,674
8,life-me,191,my,1,631
9,death-me,192,funeral,1,707
9,death-me,193,live,1,1265
9,death-me,194,die,1,740
9,death-me,195,alive,1,781
9,death-me,196,suicide,1,772
9,death-me,197,they,1,681
9,death-me,198,their,1,672
9,death-me,199,thrive,1,624
9,death-me,200,mine,1,724
9,death-me,201,self,1,681
9,death-me,202,lifeless,1,665
9,death-me,203,myself,1,1013
9,death-me,204,survive,1,798
9,death-me,205,them,1,906
9,death-me,206,breathing,1,898
9,death-me,207,I,1,875
9,death-me,208,deceased,1,639
9,death-me,209,theirs,1,731
9,death-me,210,other,1,940
9,death-me,211,my,1,840
10,life-me,212,breathing,1,657
10,life-me,213,they,1,782
10,life-me,214,live,1,605
10,life-me,215,suicide,1,598
10,life-me,216,them,1,839
10,life-me,217,my,1,555
10,life-me,218,myself,1,542
10,life-me,219,lifeless,1,714
10,life-me,220,deceased,1,723
10,life-me,221,self,1,640
10,life-me,222,I,1,572
10,life-me,223,thrive,1,782
10,life-me,224,die,1,664
10,life-me,225,survive,1,712
10,life-me,226,their,1,772
10,life-me,227,theirs,1,698
10,life-me,228,mine,1,539
10,life-me,229,alive,1,565
10,life-me,230,funeral,1,515
10,life-me,231,other,1,531
11,death-me,232,them,1,1057
11,death-me,233,myself,1,623
11,death-me,234,they,1,631
11,death-me,235,I,1,898
11,death-me,236,self,1,757
11,death-me,237,suicide,1,1065
11,death-me,238,thrive,1,973
11,death-me,239,my,1,698
11,death-me,240,theirs,1,740
11,death-me,241,alive,1,678
