,BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime,Category,Match,Type
0,-1,death-me,2,I,0,0,Me,1,2
1,-1,death-me,3,their,1,1357,Not me,0,2
2,-1,death-me,4,suicide,1,1155,Death,1,2
3,-1,death-me,5,live,1,1107,Life,0,2
4,-1,death-me,6,deceased,1,1398,Death,1,2
5,-1,death-me,7,alive,1,1056,Life,0,2
6,-1,death-me,8,mine,1,1413,Me,1,2
7,-1,death-me,9,funeral,1,998,Death,1,2
8,-1,death-me,10,they,1,790,Not me,0,2
9,-1,death-me,11,survive,1,955,Life,0,2
10,0,life-me,12,mine,1,972,Me,1,1
11,0,life-me,13,I,1,1058,Me,1,1
12,0,life-me,14,myself,1,721,Me,1,1
13,0,life-me,15,suicide,1,1023,Death,0,1
14,0,life-me,16,my,1,1333,Me,1,1
15,0,life-me,17,die,1,1373,Death,0,1
16,0,life-me,18,they,1,1198,Not me,0,1
17,0,life-me,19,them,1,666,Not me,0,1
18,0,life-me,20,survive,1,1039,Life,1,1
19,0,life-me,21,thrive,1,1449,Life,1,1
20,0,life-me,22,deceased,1,891,Death,0,1
21,0,life-me,23,theirs,1,1057,Not me,0,1
22,0,life-me,24,funeral,1,1131,Death,0,1
23,0,life-me,25,breathing,1,848,Life,1,1
24,0,life-me,26,their,1,840,Not me,0,1
25,0,life-me,27,live,1,973,Life,1,1
26,0,life-me,28,other,1,923,Not me,0,1
27,0,life-me,29,lifeless,1,1031,Death,0,1
28,0,life-me,30,alive,1,808,Life,1,1
29,0,life-me,31,self,1,1217,Me,1,1
30,1,death-me,32,die,1,1022,Death,1,2
31,1,death-me,33,breathing,1,1099,Life,0,2
32,1,death-me,34,suicide,1,1265,Death,1,2
33,1,death-me,35,them,1,974,Not me,0,2
34,1,death-me,36,funeral,1,1148,Death,1,2
35,1,death-me,37,their,1,831,Not me,0,2
36,1,death-me,38,other,1,1131,Not me,0,2
37,1,death-me,39,live,1,1072,Life,0,2
38,1,death-me,40,I,1,899,Me,1,2
39,1,death-me,41,deceased,1,1081,Death,1,2
40,1,death-me,42,myself,1,1099,Me,1,2
41,1,death-me,43,survive,1,998,Life,0,2
42,1,death-me,44,alive,1,899,Life,0,2
43,1,death-me,45,they,1,949,Not me,0,2
44,1,death-me,46,self,1,1274,Me,1,2
45,1,death-me,47,mine,1,1265,Me,1,2
46,1,death-me,48,thrive,1,956,Life,0,2
47,1,death-me,49,lifeless,1,1183,Death,1,2
48,1,death-me,50,my,1,915,Me,1,2
49,1,death-me,51,theirs,1,1215,Not me,0,2
50,2,life-me,52,lifeless,1,1525,Death,0,1
51,2,life-me,53,funeral,1,699,Death,0,1
52,2,life-me,54,deceased,1,808,Death,0,1
53,2,life-me,55,self,1,915,Me,1,1
54,2,life-me,56,live,1,1006,Life,1,1
55,2,life-me,57,mine,1,1156,Me,1,1
56,2,life-me,58,theirs,1,897,Not me,0,1
57,2,life-me,59,their,1,898,Not me,0,1
58,2,life-me,60,they,1,817,Not me,0,1
59,2,life-me,61,thrive,1,1032,Life,1,1
